Latitude;Longitude;datetime
-117,1494181;33,496116;2014-04-15 00:22:42
-111,698772;33,28800982;2014-04-15 00:22:43
-40,2226755;-20,2189463;2014-04-15 00:22:43
-58,1790057;-34,7935022;2014-04-15 00:22:44
-34,8271061;-7,9106;2014-04-15 00:22:44
-75,02051778;39,73460033;2014-04-15 00:22:45
-117,9906621;33,75817034;2014-04-15 00:22:45
-45,3784345;-23,8258448;2014-04-15 00:22:46
-58,38153453;-34,60237141;2014-04-15 00:22:46
-92,9464259;17,958058;2014-04-15 00:22:47
-122,1476093;47,85280325;2014-04-15 00:22:48
-103,5034505;25,5739369;2014-04-15 00:22:49
-57,9374894;-34,9183055;2014-04-15 00:22:51
-104,5823273;38,2965811;2014-04-15 00:22:51
-89,58494156;20,98254933;2014-04-15 00:22:51
-73,5846866;5,9001006;2014-04-15 00:22:52
-86,364172;13,0900777;2014-04-15 00:22:53
-73,2569621;10,4678176;2014-04-15 00:22:53
-118,3710442;33,88654778;2014-04-15 00:22:54
-43,47038524;-23,02816115;2014-04-15 00:22:54
-116,9592672;33,79835566;2014-04-15 00:22:55
-76,5098651;3,3989449;2014-04-15 00:22:55
-73,34796249;5,55600169;2014-04-15 00:22:56
-118,2607802;33,9402075;2014-04-15 00:22:56
-95,95041035;41,26477198;2014-04-15 00:22:58
-99,24496593;18,91679728;2014-04-15 00:22:59
-43,42723871;-22,77938318;2014-04-15 00:22:59
-87,6834415;41,5527912;2014-04-15 00:22:59
-58,7422709;-34,6640736;2014-04-15 00:23:01
-73,99656773;40,70595327;2014-04-15 00:23:02
-3,7135838;40,4249729;2014-04-15 00:23:02
-99,1387677;19,3843358;2014-04-15 00:23:03
-97,2886614;16,238587;2014-04-15 00:23:03
-55,9184042;-27,3752149;2014-04-15 00:23:03
-66,04552493;18,44831603;2014-04-15 00:23:04
-123,0000462;44,98820571;2014-04-15 00:23:04
-71,2883005;-41,1489352;2014-04-15 00:23:06
-84,49352667;42,73095663;2014-04-15 00:23:08
-110,9534227;32,24345814;2014-04-15 00:23:09
-90,5143872;14,6449565;2014-04-15 00:23:09
-34,8728001;-8,0207728;2014-04-15 00:23:10
-73,96438869;40,80642392;2014-04-15 00:23:10
-60,036492;-3,0585152;2014-04-15 00:23:10
-98,31521707;26,06859572;2014-04-15 00:23:10
-71,6523617;10,6977156;2014-04-15 00:23:11
-119,2724849;46,30233544;2014-04-15 00:23:11
-97,10195655;31,54326626;2014-04-15 00:23:11
-59,0311479;-27,443835;2014-04-15 00:23:11
-57,65386;-25,29853;2014-04-15 00:23:11
-119,6248936;36,33567293;2014-04-15 00:23:12
-115,5489689;32,9828453;2014-04-15 00:23:13
-117,9130941;33,84646012;2014-04-15 00:23:13
-97,1493076;33,207715;2014-04-15 00:23:14
-74,129692;40,8704836;2014-04-15 00:23:15
-95,85707612;36,15515652;2014-04-15 00:23:15
-50,63607474;-3,83783784;2014-04-15 00:23:15
-46,54238342;-23,46495629;2014-04-15 00:23:15
-68,19883871;10,49036089;2014-04-15 00:23:15
-122,2741947;37,86397439;2014-04-15 00:23:17
-91,5349406;41,6652849;2014-04-15 00:23:17
-95,7968765;36,29177931;2014-04-15 00:23:18
-75,29918136;40,00230617;2014-04-15 00:23:18
-117,9594056;33,89840922;2014-04-15 00:23:18
-103,3330482;48,92367006;2014-04-15 00:23:19
-111,6401337;40,25725239;2014-04-15 00:23:19
-92,6502736;18,5293636;2014-04-15 00:23:21
-70,5465881;19,2293398;2014-04-15 00:23:21
-94,40052623;29,8304392;2014-04-15 00:23:21
-73,04781421;-36,8172642;2014-04-15 00:23:22
-89,6778668;21,27791;2014-04-15 00:23:23
-58,41167644;-34,57048501;2014-04-15 00:23:23
